datetime,library,opening_type,people_in,people_out
2020-01-03 21:00:00,North Finchley,closed,0,0
2020-01-03 21:00:00,Osidge,closed,0,0
2020-01-03 22:00:00,Chipping Barnet,closed,4,2
2020-01-03 22:00:00,Colindale,closed,0,0
2020-01-03 22:00:00,Edgware,closed,0,0
2020-01-03 22:00:00,Finchley Church End,closed,0,0
2020-01-03 22:00:00,Golders Green,closed,0,0
2020-01-03 22:00:00,North Finchley,closed,0,0
2020-01-03 22:00:00,Osidge,closed,0,0
2020-01-03 23:00:00,Chipping Barnet,closed,0,0
2020-01-03 23:00:00,Colindale,closed,0,0
2020-01-03 23:00:00,Edgware,closed,0,0
2020-01-03 23:00:00,Finchley Church End,closed,0,0
2020-01-03 23:00:00,Golders Green,closed,0,0
2020-01-03 23:00:00,North Finchley,closed,0,0
2020-01-03 23:00:00,Osidge,closed,6,14
2020-01-04 00:00:00,Chipping Barnet,closed,0,0
2020-01-04 00:00:00,Colindale,closed,0,0
2020-01-04 00:00:00,Edgware,closed,0,0
2020-01-04 00:00:00,Finchley Church End,closed,0,0
2020-01-04 00:00:00,Golders Green,closed,0,0
2020-01-04 00:00:00,North Finchley,closed,0,0
2020-01-04 00:00:00,Osidge,closed,0,0
2020-01-04 01:00:00,Chipping Barnet,closed,0,0
2020-01-04 01:00:00,Colindale,closed,0,0
2020-01-04 01:00:00,Edgware,closed,0,0
2020-01-04 01:00:00,Finchley Church End,closed,0,0
2020-01-04 01:00:00,Golders Green,closed,0,0
2020-01-04 01:00:00,North Finchley,closed,0,0
2020-01-04 01:00:00,Osidge,closed,0,0
